allocation_id,campaign_id,sku,store_id,planned_quantity,planned_receipt_date,allocation_phase,allocation_method,holdback_pct,planner_owner
A-001-S-014-PEACH-001,C-2026-PEACH,PEACH-001,S-014,200,2026-06-29,replenishment,fair_share,0.08,David Park
A-002-S-014-PEACH-002,C-2026-PEACH,PEACH-002,S-014,93,2026-06-28,initial,manual_override,0.06,David Park
A-003-S-014-PEACH-003,C-2026-PEACH,PEACH-003,S-014,58,2026-06-28,initial,fair_share,0.07,David Park
A-004-S-014-PEACH-004,C-2026-PEACH,PEACH-004,S-014,80,2026-06-26,initial,manual_override,0.11,David Park
A-005-S-014-PEACH-005,C-2026-PEACH,PEACH-005,S-014,41,2026-06-28,initial,size_curve,0.09,David Park
A-006-S-014-PEACH-006,C-2026-PEACH,PEACH-006,S-014,79,2026-06-27,initial,manual_override,0.07,David Park
A-007-S-014-PEACH-007,C-2026-PEACH,PEACH-007,S-014,82,2026-06-29,initial,size_curve,0.06,David Park
A-008-S-014-PEACH-008,C-2026-PEACH,PEACH-008,S-014,73,2026-06-29,initial,manual_override,0.05,David Park
A-009-S-014-PEACH-009,C-2026-PEACH,PEACH-009,S-014,64,2026-06-27,initial,fair_share,0.09,David Park
A-010-S-014-PEACH-010,C-2026-PEACH,PEACH-010,S-014,44,2026-06-27,initial,fair_share,0.13,David Park
A-011-S-014-PEACH-011,C-2026-PEACH,PEACH-011,S-014,87,2026-06-27,initial,size_curve,0.1,David Park
A-012-S-014-PEACH-012,C-2026-PEACH,PEACH-012,S-014,92,2026-06-28,replenishment,manual_override,0.15,David Park
A-013-S-092-PEACH-001,C-2026-PEACH,PEACH-001,S-092,200,2026-06-28,replenishment,fair_share,0.12,David Park
A-014-S-092-PEACH-002,C-2026-PEACH,PEACH-002,S-092,44,2026-06-29,initial,fair_share,0.13,David Park
A-015-S-092-PEACH-003,C-2026-PEACH,PEACH-003,S-092,17,2026-06-27,chase,manual_override,0.15,David Park
A-016-S-092-PEACH-004,C-2026-PEACH,PEACH-004,S-092,49,2026-06-26,initial,door_index,0.08,David Park
A-017-S-092-PEACH-005,C-2026-PEACH,PEACH-005,S-092,18,2026-06-27,initial,size_curve,0.09,David Park
A-018-S-092-PEACH-006,C-2026-PEACH,PEACH-006,S-092,40,2026-06-26,replenishment,manual_override,0.08,David Park
A-019-S-092-PEACH-007,C-2026-PEACH,PEACH-007,S-092,26,2026-06-26,initial,size_curve,0.14,David Park
A-020-S-092-PEACH-008,C-2026-PEACH,PEACH-008,S-092,48,2026-06-27,replenishment,manual_override,0.06,David Park
A-021-S-092-PEACH-009,C-2026-PEACH,PEACH-009,S-092,53,2026-06-28,initial,size_curve,0.06,David Park
A-022-S-092-PEACH-010,C-2026-PEACH,PEACH-010,S-092,35,2026-06-27,initial,manual_override,0.07,David Park
A-023-S-092-PEACH-011,C-2026-PEACH,PEACH-011,S-092,43,2026-06-27,initial,size_curve,0.11,David Park
A-024-S-092-PEACH-012,C-2026-PEACH,PEACH-012,S-092,42,2026-06-27,initial,fair_share,0.06,David Park
A-025-S-067-PEACH-001,C-2026-PEACH,PEACH-001,S-067,220,2026-06-26,initial,door_index,0.15,David Park
A-026-S-067-PEACH-002,C-2026-PEACH,PEACH-002,S-067,49,2026-06-26,initial,fair_share,0.07,David Park
A-027-S-067-PEACH-003,C-2026-PEACH,PEACH-003,S-067,81,2026-06-27,initial,fair_share,0.11,David Park
A-028-S-067-PEACH-004,C-2026-PEACH,PEACH-004,S-067,83,2026-06-26,chase,size_curve,0.09,David Park
A-029-S-067-PEACH-005,C-2026-PEACH,PEACH-005,S-067,44,2026-06-28,initial,manual_override,0.08,David Park
A-030-S-067-PEACH-006,C-2026-PEACH,PEACH-006,S-067,57,2026-06-28,chase,fair_share,0.12,David Park
A-031-S-067-PEACH-007,C-2026-PEACH,PEACH-007,S-067,71,2026-06-26,replenishment,fair_share,0.08,David Park
A-032-S-067-PEACH-008,C-2026-PEACH,PEACH-008,S-067,56,2026-06-26,initial,size_curve,0.12,David Park
A-033-S-067-PEACH-009,C-2026-PEACH,PEACH-009,S-067,71,2026-06-28,initial,fair_share,0.1,David Park
A-034-S-067-PEACH-010,C-2026-PEACH,PEACH-010,S-067,97,2026-06-26,transfer,size_curve,0.12,David Park
A-035-S-067-PEACH-011,C-2026-PEACH,PEACH-011,S-067,85,2026-06-29,initial,size_curve,0.14,David Park
A-036-S-067-PEACH-012,C-2026-PEACH,PEACH-012,S-067,94,2026-06-28,initial,door_index,0.13,David Park
A-037-S-016-PEACH-001,C-2026-PEACH,PEACH-001,S-016,220,2026-06-28,initial,door_index,0.13,David Park
A-038-S-016-PEACH-002,C-2026-PEACH,PEACH-002,S-016,55,2026-06-26,initial,size_curve,0.1,David Park
A-039-S-016-PEACH-003,C-2026-PEACH,PEACH-003,S-016,75,2026-06-28,initial,fair_share,0.06,David Park
A-040-S-016-PEACH-004,C-2026-PEACH,PEACH-004,S-016,65,2026-06-26,initial,manual_override,0.13,David Park
A-041-S-016-PEACH-005,C-2026-PEACH,PEACH-005,S-016,44,2026-06-28,transfer,fair_share,0.09,David Park
A-042-S-016-PEACH-006,C-2026-PEACH,PEACH-006,S-016,83,2026-06-27,initial,door_index,0.13,David Park
A-043-S-016-PEACH-007,C-2026-PEACH,PEACH-007,S-016,48,2026-06-26,initial,fair_share,0.13,David Park
A-044-S-016-PEACH-008,C-2026-PEACH,PEACH-008,S-016,73,2026-06-28,initial,door_index,0.08,David Park
A-045-S-016-PEACH-009,C-2026-PEACH,PEACH-009,S-016,85,2026-06-28,initial,size_curve,0.13,David Park
A-046-S-016-PEACH-010,C-2026-PEACH,PEACH-010,S-016,56,2026-06-28,initial,size_curve,0.06,David Park
A-047-S-016-PEACH-011,C-2026-PEACH,PEACH-011,S-016,59,2026-06-29,initial,door_index,0.11,David Park
A-048-S-016-PEACH-012,C-2026-PEACH,PEACH-012,S-016,77,2026-06-28,initial,size_curve,0.13,David Park
A-049-S-037-PEACH-001,C-2026-PEACH,PEACH-001,S-037,220,2026-06-29,replenishment,fair_share,0.06,David Park
A-050-S-037-PEACH-002,C-2026-PEACH,PEACH-002,S-037,56,2026-06-27,initial,manual_override,0.11,David Park
A-051-S-037-PEACH-003,C-2026-PEACH,PEACH-003,S-037,16,2026-06-26,replenishment,size_curve,0.11,David Park
A-052-S-037-PEACH-004,C-2026-PEACH,PEACH-004,S-037,34,2026-06-26,initial,manual_override,0.08,David Park
A-053-S-037-PEACH-005,C-2026-PEACH,PEACH-005,S-037,19,2026-06-29,initial,manual_override,0.1,David Park
A-054-S-037-PEACH-006,C-2026-PEACH,PEACH-006,S-037,28,2026-06-27,initial,size_curve,0.14,David Park
A-055-S-037-PEACH-007,C-2026-PEACH,PEACH-007,S-037,35,2026-06-27,transfer,door_index,0.13,David Park
A-056-S-037-PEACH-008,C-2026-PEACH,PEACH-008,S-037,47,2026-06-29,initial,manual_override,0.06,David Park
A-057-S-037-PEACH-009,C-2026-PEACH,PEACH-009,S-037,43,2026-06-28,initial,fair_share,0.08,David Park
A-058-S-037-PEACH-010,C-2026-PEACH,PEACH-010,S-037,39,2026-06-26,initial,door_index,0.13,David Park
A-059-S-037-PEACH-011,C-2026-PEACH,PEACH-011,S-037,51,2026-06-27,initial,door_index,0.1,David Park
A-060-S-037-PEACH-012,C-2026-PEACH,PEACH-012,S-037,47,2026-06-26,initial,size_curve,0.1,David Park
A-061-S-011-PEACH-001,C-2026-PEACH,PEACH-001,S-011,180,2026-06-26,initial,door_index,0.07,David Park
A-062-S-011-PEACH-002,C-2026-PEACH,PEACH-002,S-011,37,2026-06-29,initial,manual_override,0.11,David Park
A-063-S-011-PEACH-003,C-2026-PEACH,PEACH-003,S-011,56,2026-06-26,initial,fair_share,0.13,David Park
A-064-S-011-PEACH-004,C-2026-PEACH,PEACH-004,S-011,42,2026-06-28,replenishment,size_curve,0.13,David Park
A-065-S-011-PEACH-005,C-2026-PEACH,PEACH-005,S-011,38,2026-06-29,initial,door_index,0.09,David Park
A-066-S-011-PEACH-006,C-2026-PEACH,PEACH-006,S-011,33,2026-06-29,initial,manual_override,0.13,David Park
