photo_id,confirmation_id,visit_id,store_id,campaign_id,photo_proof_url,photo_timestamp,photo_gps_coordinates,photo_user_id,photo_device_id,photo_type,photo_validation_status,photo_validation_reason
PH-001-V-001-S-014,CONF-001-S-014-PEACH-001,V-001-S-014,S-014,C-2026-PEACH,photos/PH-001-V-001-S-014.jpg,2026-07-03T13:45:00-05:00,"31.363,-116.9011",REP-001,TAB-018,store_front,passed,
PH-002-V-002-S-014,CONF-002-S-014-PEACH-002,V-002-S-014,S-014,C-2026-PEACH,photos/PH-002-V-002-S-014.jpg,2026-07-02T18:15:00-05:00,"33.8277,-91.7384",REP-016,TAB-012,store_front,passed,
PH-003-V-002-S-014,CONF-002-S-014-PEACH-002,V-002-S-014,S-014,C-2026-PEACH,photos/PH-003-V-002-S-014.jpg,2026-07-02T17:00:00-05:00,"31.5464,-96.6261",REP-011,TAB-018,shelf_display,passed,
PH-004-V-002-S-014,CONF-002-S-014-PEACH-002,V-002-S-014,S-014,C-2026-PEACH,photos/PH-004-V-002-S-014.jpg,2026-07-02T18:00:00-05:00,"35.8075,-113.6756",REP-006,TAB-015,pricing,passed,
PH-005-V-002-S-014,CONF-002-S-014-PEACH-002,V-002-S-014,S-014,C-2026-PEACH,photos/PH-005-V-002-S-014.jpg,2026-07-02T18:00:00-05:00,"27.6124,-110.5964",REP-011,TAB-002,posm_deployment,passed,
PH-006-V-003-S-014,CONF-003-S-014-PEACH-003,V-003-S-014,S-014,C-2026-PEACH,photos/PH-006-V-003-S-014.jpg,2026-07-01T16:00:00-05:00,"32.5533,-95.8902",REP-010,TAB-006,pricing,passed,
PH-007-V-003-S-014,CONF-003-S-014-PEACH-003,V-003-S-014,S-014,C-2026-PEACH,photos/PH-007-V-003-S-014.jpg,2026-07-01T16:30:00-05:00,"33.8046,-94.4739",REP-001,TAB-015,shelf_display,passed,
PH-008-V-003-S-014,CONF-003-S-014-PEACH-003,V-003-S-014,S-014,C-2026-PEACH,photos/PH-008-V-003-S-014.jpg,2026-07-01T10:30:00-05:00,"30.145,-119.3426",REP-003,TAB-011,planogram,passed,
PH-009-V-004-S-014,CONF-004-S-014-PEACH-004,V-004-S-014,S-014,C-2026-PEACH,photos/PH-009-V-004-S-014.jpg,2026-07-03T09:45:00-05:00,"28.611,-96.5942",REP-016,TAB-012,posm_deployment,passed,
PH-010-V-005-S-014,CONF-005-S-014-PEACH-005,V-005-S-014,S-014,C-2026-PEACH,photos/PH-010-V-005-S-014.jpg,2026-07-06T09:30:00-05:00,"44.9054,-82.6913",REP-003,TAB-017,posm_deployment,passed,
PH-011-V-006-S-014,CONF-006-S-014-PEACH-006,V-006-S-014,S-014,C-2026-PEACH,photos/PH-011-V-006-S-014.jpg,2026-07-02T08:45:00-05:00,"27.3421,-118.8967",REP-009,TAB-002,planogram,passed,
PH-012-V-007-S-014,CONF-007-S-014-PEACH-007,V-007-S-014,S-014,C-2026-PEACH,photos/PH-012-V-007-S-014.jpg,2026-07-05T11:15:00-05:00,"34.8399,-89.8146",REP-005,TAB-016,pricing,passed,
PH-013-V-007-S-014,CONF-007-S-014-PEACH-007,V-007-S-014,S-014,C-2026-PEACH,photos/PH-013-V-007-S-014.jpg,2026-07-05T16:30:00-05:00,"28.3442,-81.2849",REP-015,TAB-008,store_front,passed,
PH-014-V-007-S-014,CONF-007-S-014-PEACH-007,V-007-S-014,S-014,C-2026-PEACH,photos/PH-014-V-007-S-014.jpg,2026-07-05T10:30:00-05:00,"39.0703,-117.8979",REP-006,TAB-007,store_front,passed,
PH-015-V-009-S-014,CONF-009-S-014-PEACH-009,V-009-S-014,S-014,C-2026-PEACH,photos/PH-015-V-009-S-014.jpg,2026-07-06T09:15:00-05:00,"34.4638,-117.7317",REP-010,TAB-004,shelf_display,passed,
PH-016-V-009-S-014,CONF-009-S-014-PEACH-009,V-009-S-014,S-014,C-2026-PEACH,photos/PH-016-V-009-S-014.jpg,2026-07-06T09:15:00-05:00,"39.0241,-105.1461",REP-011,TAB-018,posm_deployment,passed,
PH-017-V-009-S-014,CONF-009-S-014-PEACH-009,V-009-S-014,S-014,C-2026-PEACH,photos/PH-017-V-009-S-014.jpg,2026-07-06T12:15:00-05:00,"45.5525,-100.5314",REP-014,TAB-010,shelf_display,passed,
PH-018-V-010-S-014,CONF-010-S-014-PEACH-010,V-010-S-014,S-014,C-2026-PEACH,photos/PH-018-V-010-S-014.jpg,2026-07-04T13:30:00-05:00,"29.4841,-87.1106",REP-012,TAB-014,store_front,passed,
PH-019-V-010-S-014,CONF-010-S-014-PEACH-010,V-010-S-014,S-014,C-2026-PEACH,photos/PH-019-V-010-S-014.jpg,2026-07-04T17:30:00-05:00,"33.4677,-82.2926",REP-004,TAB-010,pricing,passed,
PH-020-V-010-S-014,CONF-010-S-014-PEACH-010,V-010-S-014,S-014,C-2026-PEACH,photos/PH-020-V-010-S-014.jpg,2026-07-04T09:45:00-05:00,"43.1648,-73.5457",REP-016,TAB-014,shelf_display,passed,
PH-021-V-011-S-014,CONF-011-S-014-PEACH-011,V-011-S-014,S-014,C-2026-PEACH,photos/PH-021-V-011-S-014.jpg,2026-07-05T11:15:00-05:00,"25.1802,-112.2173",REP-008,TAB-017,store_front,passed,
PH-022-V-012-S-014,CONF-012-S-014-PEACH-012,V-012-S-014,S-014,C-2026-PEACH,photos/PH-022-V-012-S-014.jpg,2026-07-02T10:30:00-05:00,"38.1099,-119.7966",REP-001,TAB-020,shelf_display,passed,
PH-023-V-012-S-014,CONF-012-S-014-PEACH-012,V-012-S-014,S-014,C-2026-PEACH,photos/PH-023-V-012-S-014.jpg,2026-07-02T12:15:00-05:00,"30.9456,-118.7875",REP-014,TAB-013,pricing,passed,
PH-024-V-013-S-092,CONF-013-S-092-PEACH-001,V-013-S-092,S-092,C-2026-PEACH,photos/PH-024-V-013-S-092.jpg,2026-07-01T10:45:00-04:00,"40.0033,-100.5651",REP-011,TAB-016,store_front,failed,image quality too low
PH-025-V-013-S-092,CONF-013-S-092-PEACH-001,V-013-S-092,S-092,C-2026-PEACH,photos/PH-025-V-013-S-092.jpg,2026-07-01T16:00:00-04:00,"46.9044,-109.8731",REP-012,TAB-007,pricing,passed,
