sales_id,campaign_id,store_id,sku,sales_date,day_of_campaign,units_sold,units_sold_full_price,units_sold_markdown,on_hand_quantity,on_order_quantity,in_transit_quantity,transfer_in_quantity,transfer_out_quantity,shrink_quantity,period_close_date
SALE-2026-07-01-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-01,1,2,2,0,188,0,0,0,0,0,2026-07-01
SALE-2026-07-02-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-02,2,3,3,0,185,0,0,0,0,0,2026-07-02
SALE-2026-07-03-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-03,3,5,5,0,180,0,0,0,0,0,2026-07-03
SALE-2026-07-04-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-04,4,5,5,0,173,0,0,0,2,0,2026-07-04
SALE-2026-07-05-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-05,5,6,6,0,169,0,0,0,0,0,2026-07-05
SALE-2026-07-06-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-06,6,6,6,0,163,0,0,0,0,0,2026-07-06
SALE-2026-07-07-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-07,7,7,7,0,156,0,0,0,0,0,2026-07-07
SALE-2026-07-08-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-08,8,7,7,0,149,0,0,0,0,0,2026-07-08
SALE-2026-07-09-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-09,9,8,8,0,141,0,0,0,0,0,2026-07-09
SALE-2026-07-10-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-10,10,7,7,0,134,0,0,0,0,0,2026-07-10
SALE-2026-07-11-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-11,11,6,6,0,128,0,0,0,0,0,2026-07-11
SALE-2026-07-12-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-12,12,6,6,0,122,0,0,0,0,0,2026-07-12
SALE-2026-07-13-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-13,13,6,6,0,112,0,0,0,4,0,2026-07-13
SALE-2026-07-14-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-14,14,6,6,0,110,0,0,0,0,0,2026-07-14
SALE-2026-07-15-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-15,15,5,5,0,105,0,0,0,0,0,2026-07-15
SALE-2026-07-16-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-16,16,7,6,1,98,0,0,0,0,0,2026-07-16
SALE-2026-07-17-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-17,17,10,9,1,88,0,0,0,0,0,2026-07-17
SALE-2026-07-18-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-18,18,9,9,0,79,0,0,0,0,0,2026-07-18
SALE-2026-07-19-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-19,19,6,6,0,73,0,0,0,0,0,2026-07-19
SALE-2026-07-20-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-20,20,8,8,0,65,0,0,0,0,0,2026-07-20
SALE-2026-07-21-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-21,21,9,8,1,56,0,0,0,0,0,2026-07-21
SALE-2026-07-22-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-22,22,6,5,1,50,0,0,0,0,0,2026-07-22
SALE-2026-07-23-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-23,23,6,5,1,44,0,0,0,0,0,2026-07-23
SALE-2026-07-24-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-24,24,4,4,0,40,0,0,0,0,0,2026-07-24
SALE-2026-07-25-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-25,25,4,4,0,36,0,0,0,0,0,2026-07-25
SALE-2026-07-26-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-26,26,3,3,0,33,0,0,0,0,0,2026-07-26
SALE-2026-07-27-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-27,27,2,2,0,26,0,0,0,5,0,2026-07-27
SALE-2026-07-28-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,2026-07-28,28,2,2,0,29,0,0,0,0,0,2026-07-28
SALE-2026-07-01-S-014-PEACH-002,C-2026-PEACH,S-014,PEACH-002,2026-07-01,1,1,1,0,90,0,0,0,0,0,2026-07-01
SALE-2026-07-02-S-014-PEACH-002,C-2026-PEACH,S-014,PEACH-002,2026-07-02,2,1,1,0,89,0,0,0,0,0,2026-07-02
SALE-2026-07-03-S-014-PEACH-002,C-2026-PEACH,S-014,PEACH-002,2026-07-03,3,1,1,0,88,0,0,0,0,0,2026-07-03
SALE-2026-07-04-S-014-PEACH-002,C-2026-PEACH,S-014,PEACH-002,2026-07-04,4,1,1,0,78,0,0,0,9,0,2026-07-04
SALE-2026-07-05-S-014-PEACH-002,C-2026-PEACH,S-014,PEACH-002,2026-07-05,5,2,2,0,85,0,0,0,0,0,2026-07-05
SALE-2026-07-06-S-014-PEACH-002,C-2026-PEACH,S-014,PEACH-002,2026-07-06,6,2,2,0,83,0,0,0,0,0,2026-07-06
SALE-2026-07-07-S-014-PEACH-002,C-2026-PEACH,S-014,PEACH-002,2026-07-07,7,2,2,0,79,0,0,0,0,2,2026-07-07
SALE-2026-07-08-S-014-PEACH-002,C-2026-PEACH,S-014,PEACH-002,2026-07-08,8,3,3,0,77,0,0,0,1,0,2026-07-08
SALE-2026-07-09-S-014-PEACH-002,C-2026-PEACH,S-014,PEACH-002,2026-07-09,9,2,2,0,76,0,0,0,0,0,2026-07-09
SALE-2026-07-10-S-014-PEACH-002,C-2026-PEACH,S-014,PEACH-002,2026-07-10,10,3,3,0,73,0,0,0,0,0,2026-07-10
