confirmation_id,allocation_id,shipment_id,campaign_id,store_id,sku,received_quantity,received_date,receipt_status,receiving_exception_type,receiving_owner,visit_id,visit_date,visit_timestamp,visit_status,gps_coordinates,checklist_completion_pct,planogram_compliance,pricing_accuracy,on_shelf_availability_pct,training_completion_flag,audit_level,audit_status,compliance_score,audit_comments,exception_flag,non_completion_reason,campaign_store_status,confirmation_timestamp
CONF-001-S-014-PEACH-001,A-001-S-014-PEACH-001,SH-001-S-014-PEACH-001,C-2026-PEACH,S-014,PEACH-001,190,2026-06-29,accepted,none,Mark Thompson,V-001-S-014,2026-07-03,2026-07-03T08:45:00-05:00,completed,"27.0494,-72.6926",0.91,True,True,0.88,True,L1,approved,72.7,,False,,completed,2026-07-03T08:30:00-05:00
CONF-002-S-014-PEACH-002,A-002-S-014-PEACH-002,SH-002-S-014-PEACH-002,C-2026-PEACH,S-014,PEACH-002,91,2026-06-28,accepted,none,Tom Harris,V-002-S-014,2026-07-02,2026-07-02T12:45:00-05:00,completed,"33.0776,-87.6387",0.82,True,True,0.85,True,L1,approved,89.1,,False,,completed,2026-07-02T13:15:00-05:00
CONF-003-S-014-PEACH-003,A-003-S-014-PEACH-003,SH-003-S-014-PEACH-003,C-2026-PEACH,S-014,PEACH-003,55,2026-06-29,accepted,none,Ravi Kumar,V-003-S-014,2026-07-01,2026-07-01T14:30:00-05:00,completed,"44.7652,-72.2144",0.84,True,True,0.84,True,L2,approved,86.8,,False,,completed,2026-07-01T14:30:00-05:00
CONF-004-S-014-PEACH-004,A-004-S-014-PEACH-004,SH-004-S-014-PEACH-004,C-2026-PEACH,S-014,PEACH-004,78,2026-06-28,accepted,none,Tom Harris,V-004-S-014,2026-07-03,2026-07-03T10:45:00-05:00,completed,"46.5117,-75.5883",0.96,True,True,0.99,True,L1,approved,74.7,,False,,completed,2026-07-03T10:00:00-05:00
CONF-005-S-014-PEACH-005,A-005-S-014-PEACH-005,SH-005-S-014-PEACH-005,C-2026-PEACH,S-014,PEACH-005,38,2026-06-29,accepted,none,Kevin Liu,V-005-S-014,2026-07-06,2026-07-06T16:45:00-05:00,completed,"40.3802,-116.7268",0.85,True,True,0.9,True,L1,pending,84.6,,False,,completed,2026-07-06T19:00:00-05:00
CONF-006-S-014-PEACH-006,A-006-S-014-PEACH-006,SH-006-S-014-PEACH-006,C-2026-PEACH,S-014,PEACH-006,75,2026-06-29,accepted,none,Kevin Liu,V-006-S-014,2026-07-02,2026-07-02T09:30:00-05:00,completed,"31.4989,-113.2262",0.95,True,True,0.88,True,L1,approved,79.0,,False,,completed,2026-07-02T12:15:00-05:00
CONF-007-S-014-PEACH-007,A-007-S-014-PEACH-007,SH-007-S-014-PEACH-007,C-2026-PEACH,S-014,PEACH-007,79,2026-07-01,accepted,none,Jess Brooks,V-007-S-014,2026-07-05,2026-07-05T08:00:00-05:00,completed,"32.0638,-90.6265",0.98,True,True,0.95,True,L1,approved,75.3,,False,,completed,2026-07-05T09:00:00-05:00
CONF-008-S-014-PEACH-008,A-008-S-014-PEACH-008,SH-008-S-014-PEACH-008,C-2026-PEACH,S-014,PEACH-008,66,2026-07-01,accepted,none,Tom Harris,V-008-S-014,2026-07-03,2026-07-03T13:00:00-05:00,completed,"35.5164,-110.7147",0.84,True,True,0.9,True,L1,pending,69.5,,False,,completed,2026-07-03T14:00:00-05:00
CONF-009-S-014-PEACH-009,A-009-S-014-PEACH-009,SH-009-S-014-PEACH-009,C-2026-PEACH,S-014,PEACH-009,47,2026-06-27,partial,shortage,Sofia Reyes,V-009-S-014,2026-07-06,2026-07-06T14:15:00-05:00,completed,"26.0294,-112.9165",0.85,True,True,0.88,True,L2,approved,94.6,Minor shortage noted during receiving.,True,,completed,2026-07-06T16:45:00-05:00
CONF-010-S-014-PEACH-010,A-010-S-014-PEACH-010,SH-010-S-014-PEACH-010,C-2026-PEACH,S-014,PEACH-010,36,2026-06-28,partial,shortage,Sofia Reyes,V-010-S-014,2026-07-04,2026-07-04T12:00:00-05:00,completed,"41.008,-97.5436",0.93,True,True,0.82,True,L1,rejected,49.5,Significant shortage in received quantity.,True,,completed,2026-07-04T15:00:00-05:00
